card_id,decklist_id,place,player_name,quantity,brigade,n_brigades,card_name,in_reserve,image_file,official_set,type,strength,toughness,class,identifier,special_ability,rarity,reference,alignment,legality
jonathan_greeson_115-Simon-the-Zealous,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Purple', 'Clay']",2,Simon the Zealous / Saint Simon (GoC),False,115-Simon-the-Zealous,Gospel of Christ,Hero,3(2),2(3),,"Disciple, Jerusalem, Missionary, Martyr","TOP: Negate Lost Souls. You may convert this card to meek or reveal a good Dominant from hand. If you do, you may choose an Evil Character to block. BOTTOM: Meek",Common,"Luke 6:13,15",Good,Rotation
jonathan_greeson_51-Polycarp,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Clay', 'White']",2,Polycarp (RoJ),False,51-Polycarp,Revelation of John,Hero,2,2,Territory,Martyr,"You may search deck or Reserve for John. If your good N.T. Enhancement is interrupted or negated by an opponent, you may discard Polycarp instead. Cannot be interrupted.",Common,I John 2:1,Good,Rotation
jonathan_greeson_77-Angel-from-the-Sun,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Silver'],1,Angel from the Sun (RoJ),False,77-Angel-from-the-Sun,Revelation of John,Hero,3,3,,,"You may exchange this Hero with a martyr from hand, deck, territory or Reserve. If it is a Revelation martyr, you may draw 2.",Common,Revelation 7:3,Good,Rotation
jonathan_greeson_049-Judas-Iscariot,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Purple', 'Crimson']",2,"Judas Iscariot / Judas, the Betrayer (GoC)",False,049-Judas-Iscariot,Gospel of Christ,Hero/Evil Character,1(6),6(1),Territory,(Good) Disciple / (Evil) Thief,"HERO: If a player uses a draw ability, you may take an Artifact or Enhancement from their hand. If attacking, you may draw 2. EC: Restrict good Dominants. May band to a demon, or you may take an Artifact from a deck.",Common,"Luke 6:13,16",Neutral,Rotation
jonathan_greeson_117-Matthias,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Purple', 'Clay']",2,Matthias (GoC),False,117-Matthias,Gospel of Christ,Hero,X(7),3(7),,"Disciple, Jerusalem, Martyr, Missionary (top) X = # of your disciples",TOP: You may convert this card to meek to bounce a character. You may reveal a good Dominant from hand to look at the top X cards of deck: Take up to 1 and underdeck the rest. BOTTOM: Meek,Common,Acts 1:26,Good,Rotation
jonathan_greeson_019-Send-the-Helper,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Clay'],1,Send the Helper (GoC),False,019-Send-the-Helper,Gospel of Christ,Covenant,6,1,,X = # of your meek clay Heroes,"GE: Banish up to X evil cards. ART: You may bounce a clay Hero in territory. If your meek clay Hero attacks, you may take a good card from Reserve.",Common,John 16:7,Good,Rotation
jonathan_greeson_083-Good-Seed-R,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Clay', 'Good Gold', 'Purple', 'White']",4,Good Seed (GoC),False,083-Good-Seed-R,Gospel of Christ,GE,,,Territory,,"Place in territory: Each upkeep, you may take a good Enhancement from Reserve. While an Evil Character is in battle, you may reserve this card to add your N.T. human Hero to battle.",Rare,Luke 8:8,Good,Rotation
jonathan_greeson_The-New-Covenant-IJ,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Purple'],1,The New Covenant (I/J+),False,The-New-Covenant-IJ,I/J+,Covenant,4,3,,,GE: Hero may band to any number of N.T. Heroes. ART: You may take a good Gospel Enhancement from deck or Reserve.,,Mark 14:24,Good,Rotation
jonathan_greeson_079-The-Great-Commission-R,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Clay', 'Purple']",2,The Great Commission (GoC),False,079-The-Great-Commission-R,Gospel of Christ,GE,X,0,,X = # of your N.T. human Heroes,"If used by a meek Hero, interrupt the battle. Select up to X Evil Characters. Convert the selected humans and shuffle the selected non-humans.",Rare,Matthew 28:19-20,Good,Rotation
jonathan_greeson_084-Untouchable,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Clay'],1,Untouchable (GoC),False,084-Untouchable,Gospel of Christ,GE,7,0,Star,,"STAR: If you control a meek Hero, draw 2. GE: Interrupt the battle. Protect Heroes in battle from harm. You may bounce a character. Cannot be negated by a Pharisee or Sadducee.",Common,John 8:59,Good,Rotation
jonathan_greeson_090-The-Ascension,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Clay'],1,The Ascension (GoC),False,090-The-Ascension,Gospel of Christ,GE,0,3,Star,,STAR: Play a Lost Soul from a deck. GE: Interrupt the battle. You may play a clay Hero from Reserve. Hero may band to any number of N.T. Heroes. Cannot be negated if used by a meek Hero.,Common,Luke 24:51,Good,Rotation
jonathan_greeson_081-Authority-of-Christ-UR+,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Clay', 'Purple']",2,Authority of Christ (GoC UR+),False,081-Authority-of-Christ-UR+,Gospel of Christ,GE,,,Star,,"STAR: Set aside a Hero from hand for 2 turns. On return, draw 3. GE: Discard all Evil Characters that you do not control. Cannot be negated if used by a meek disciple.",Ultra Rare,Matthew 8:26,Good,Rotation
jonathan_greeson_57-Blood-of-the-Lamb,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Clay', 'Green', 'White']",3,Blood of the Lamb (RoJ),False,57-Blood-of-the-Lamb,Revelation of John,GE,2,2,,,"Negate an evil card. If used by a martyr, you may draw 3. You may play an Enhancement.",Common,Revelation 12:11,Good,Rotation
jonathan_greeson_061-Generous-Giving.jpg,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Clay'],1,Generous Giving (Roots),False,061-Generous-Giving.jpg,Roots,GE,4,3,,,Interrupt the battle. You may draw 3 and play an Enhancement.,,II Corinthians 8:12,Good,Rotation
jonathan_greeson_078-Love-One-Another,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Clay', 'Purple']",2,Love One Another (GoC),False,078-Love-One-Another,Gospel of Christ,GE,X,2,Star,X = # of your meek clay cards,STAR: Discard an evil card from a Reserve. GE: Select up to X evil cards. Convert the selected humans and bounce the rest. Regardless of protect abilities if used by a meek Hero.,Common,John 13:34,Good,Rotation
jonathan_greeson_182-Plotting-Priests,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,Plotting Priests (GoC),False,182-Plotting-Priests,Gospel of Christ,Evil Character,4,5,Territory,"Generic, Priest, Sadducee","If opponent uses a search ability, you may underdeck a meek Lost Soul. If blocking, you may take an N.T. black Enhancement from Reserve (or deck if you control a meek Lost Soul).",Common,Matthew 26:3-4,Evil,Rotation
jonathan_greeson_162-Supercilious-Scribes,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Gray']",2,Supercilious Scribes (GoC),False,162-Supercilious-Scribes,Gospel of Christ,Evil Character,1,3,,"Generic, Pharisee, Sadducee","Protect this card from the next good card played in battle. May band to a Pharisee or Sadducee, or you may exchange a good card from hand with a card from Reserve.",Common,Luke 20:46,Evil,Rotation
jonathan_greeson_103-The-Chief-Priests,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,The Chief Priests (RoJ),False,103-The-Chief-Priests,Revelation of John,Evil Character,7,8,,Sadducee,"You may search your deck or Reserve for a Sadducee, or draw 1. You may withdraw this character from battle to add a Sadducee, Pharisee, or Judas Iscariot to battle. Cannot be interrupted.",Common,John 11:47,Evil,Rotation
jonathan_greeson_184-Malchus,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,Malchus (GoC),False,184-Malchus,Gospel of Christ,Evil Character,2,1,"Warrior, Star",Sadducee,STAR: Underdeck a meek Lost Soul. EC: ​​You may capture this card to a player to add a Sadducee from territory or Reserve to battle. Cannot be prevented if you control a meek Lost Soul.,Common,John 18:10,Evil,Rotation
jonathan_greeson_175-Annas-R,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,Annas the Elder (GoC),False,175-Annas-R,Gospel of Christ,Evil Character,11,10,,"High Priest, Sadducee","If blocking, you may underdeck a Lost Soul (or 2 meek Lost Souls). May band to a unique Sadducee. If opponent has used a search ability this turn, your Sadducees cannot be negated.",Rare,John 18:13,Evil,Rotation
jonathan_greeson_The_Priests_of_Zeus,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,The Priests of Zeus,False,The_Priests_of_Zeus,Early Church,Evil Character,2,5,Territory,"Greek, Priest","If an opponent draws because of their special ability, you may discard a card in that player's territory (except a Lost Soul). Cannot be interrupted.",Rare,Acts 14:13,Evil,Rotation
jonathan_greeson_177-Caiaphas-R,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,Caiaphas the Conspirator (GoC),False,177-Caiaphas-R,Gospel of Christ,Evil Character,9,8,,"High Priest, Prophet, Sadducee","Evil N.T. Enhancements used by this card are regardless of protect abilities. While blocking alone and you control a meek Lost Soul, restrict good Dominants. May band to a Pharisee or Sadducee.",Rare,John 18:14,Evil,Rotation
jonathan_greeson_020-Peters-Curse,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Crimson']",2,Peter's Curse (GoC),False,020-Peters-Curse,Gospel of Christ,Curse,3,3,,,EE: Reserve a Hero. Cannot be negated by a disciple. ART: Restrict good Dominants. Cannot be negated. Limit 3 rounds.,Common,Matthew 26:74,Evil,Rotation
jonathan_greeson_151-Mask-of-Self-Glorification.jpg,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,Mask of Self-glorification (Roots),False,151-Mask-of-Self-Glorification.jpg,Roots,EE,5,1,,Gospel,Interrupt the battle. You may draw 3 and play an evil Enhancement.,,Matthew 23:24,Evil,Rotation
jonathan_greeson_167-Tenants-Kill-the-Son,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Gray']",2,Tenants Kill the Son (GoC),False,167-Tenants-Kill-the-Son,Gospel of Christ,EE,3,3,,,Interrupt the battle. Character may band to an evil human and you may discard a Hero. Cannot be prevented if you control a meek Lost Soul.,Common,Matthew 21:38-39,Evil,Rotation
jonathan_greeson_172-Gathering-the-Sanhedrin-R,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Gray']",2,Gathering the Sanhedrin (GoC),False,172-Gathering-the-Sanhedrin-R,Gospel of Christ,EE,X,X,,X = # of your characters that are Pharisee and/or Sadducee,Interrupt the battle. You may take a N.T. human from Reserve. Character may band to any number of Pharisees and Sadducees. Cannot be negated if you control a meek Lost Soul.,Rare,John 11:47,Evil,Rotation
jonathan_greeson_168-Just-a-Hireling,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Gray']",2,Just a Hireling (GoC),False,168-Just-a-Hireling,Gospel of Christ,EE,2,3,,,Discard your Pharisee or Sadducee to shuffle up to 3 Lost Souls (or any number of meek Lost Souls). Cannot be prevented if you control a meek Lost Soul.,Common,John 10:12,Evil,Rotation
jonathan_greeson_171-Withered-Seed,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Gray']",2,Withered Seed (GoC),False,171-Withered-Seed,Gospel of Christ,EE,1,4,"Territory, Star",,STAR: Topdeck a good Enhancement from Reserve. EE: You may underdeck a good Enhancement from opponent’s hand and a meek Lost Soul in territory.,Common,Luke 8:6,Evil,Rotation
jonathan_greeson_Grapes-of-Wrath-2021,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,[],0,Grapes of Wrath (2021 Promo),False,Grapes-of-Wrath-2021,Promo,Dominant,,,,,"Discard an evil card in battle to shuffle all characters in battle. If the active player was rescuing this battle (and does not have a Hero in battle and Redeemed Soul advantage over every player), that player may end the battle to begin a new battle.",Promo,Revelation 19:15,Good,Rotation
jonathan_greeson_110-Philip,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Purple', 'Clay']",2,Philip of Bethsaida / Philip the Pragmatic (GoC),True,110-Philip,Gospel of Christ,Hero,8(12),12(8),,"Disciple, Jerusalem, Missionary, Martyr","TOP: You may convert this card to meek to take a disciple from deck. If you do not, you may reveal a good Dominant from hand to band to a martyr. Cannot be interrupted. BOTTOM: Meek",Common,John 1:43,Good,Rotation
jonathan_greeson_018-His-Sacrifice-UR+,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Good Gold', 'Red', 'Silver', 'Teal', 'White', 'Green', 'Purple', 'Blue', 'Clay']",9,His Sacrifice (GoC UR+),True,018-His-Sacrifice-UR+,Gospel of Christ,Covenant,7,0,,Unity: Heroes (N.T.),"GE: Convert all evil humans in battle. Negate and banish all evil non-humans in battle. Cannot be interrupted by a demon. ART: You may negate and discard a Curse, an evil Enhancement or an evil Dominant.",Ultra Rare,Matthew 26:28,Good,Rotation
jonathan_greeson_You_Will_Remain_(CoW),nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Clay', 'White']",2,You Will Remain,True,You_Will_Remain_(CoW),Cloud of Witnesses,Covenant,0,7,,Involves Music,"If opponent uses an evil 'end the battle' ability this turn, you may begin a new battle. If an opponent removes your last Hero from battle, you may remove this from the game to add your Hero to battle.",Rare,Hebrews 1:11-12  Psalm 102:26-27,Good,Rotation
jonathan_greeson_CoW_AB_N77-Eternal-Inheritance-UR,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Clay'],1,Eternal Inheritance (CoW AB),True,CoW_AB_N77-Eternal-Inheritance-UR,Cloud of Witnesses (Alternate Border),GE,3,3,,,"If rescuing, a Covenant is active and your Hero is opposed, remove this from the game to rescue a Lost Soul. Battle continues as a battle challenge. Opponent may play an Enhancement.",Ultra Rare,Hebrews 9:15,Good,Rotation
jonathan_greeson_118-I-Am-He,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Purple'],1,I Am He (GoC),True,118-I-Am-He,Gospel of Christ,GE,7,0,"Territory, Star",,STAR: Look at a hand or a Reserve. GE: You may reveal a good Dominant from hand to protect Lost Souls from evil cards and disciples from harm this turn.,Common,John 18:6,Good,Rotation
jonathan_greeson_159-The-Brood-of-Vipers-R,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Gray']",2,The Brood of Vipers (GoC),True,159-The-Brood-of-Vipers-R,Gospel of Christ,Evil Character,12,12,,"Pharisee, Sadducee","If blocking, you may negate and underdeck a good card in a territory. You may exchange this card with a Pharisee or Sadducee. Cannot be negated if you control a meek Lost Soul.",Rare,Matthew 3:7,Evil,Rotation
jonathan_greeson_RoJ_AB_N102-High-Priest-Ananias-R,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,High Priest Ananias (RoJ AB),True,RoJ_AB_N102-High-Priest-Ananias-R,Revelation of John (Alternate Border),Evil Character,10,11,Territory,"High Priest, Sadducee","Sadducees in battle ignore angels. While High Priest Ananias is blocking, restrict opponent from playing good Enhancements with a brigade not already in battle. Cannot be prevented.",Rare,Acts 23:2,Evil,Rotation
jonathan_greeson_048-Unsuccessful,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Gray'],1,Unsuccessful (PoC),True,048-Unsuccessful,Prophecies of Christ,Curse,0,6,,,"EE: End the battle as a stalemate. ART: At any time, you may discard this card to negate an Enhancement (or the last Enhancement played) and discard it.",Common,Deuteronomy 28:29,Evil,Rotation
jonathan_greeson_217-Scattered-Sheep,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,"['Black', 'Gray']",2,Scattered Sheep,True,217-Scattered-Sheep,Prophecies of Christ,EE,,,,,(Star) Reveal all hands: Underdeck a Hero from each hand. (EE) Shuffle all Heroes in battle. Cannot be negated if opposed by 2 or more Heroes.,Common,Zechariah 13:7,Evil,Rotation
jonathan_greeson_153-Adjourn.jpg,nats2024_16th_jonathan_greeson.txt,16,jonathan_greeson,1,['Black'],1,Adjourn (Roots),True,153-Adjourn.jpg,Roots,EE,3,2,,,You may negate a good card or withdraw all Heroes. Cannot be prevented if used by a Greek.,,Acts 17:32,Evil,Rotation
card_id,decklist_id,place,player_name,quantity,brigade,n_brigades,card_name,in_reserve,image_file,official_set,type,strength,toughness,class,identifier,special_ability,rarity,reference,alignment,legality
james_courtney_Promo_Son-of-God-Christmas,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Son of God ""Manger"" (Promo)",False,Promo_Son-of-God-Christmas,Promo,Dominant,,,,,Negate and rescue a Lost Soul.,Seasonal,Luke 2:7,Good,Rotation
james_courtney_FR-The-Second-Coming,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,The Second Coming [Fundraiser],False,FR-The-Second-Coming,Fundraiser,Dominant,,,,[May not be included in a deck with the New Jerusalem Dominant],Search deck or discard pile for a good Dominant.,Promo,Hebrews 9:28,Good,Rotation
james_courtney_FR-Three-Woes,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Three Woes [Fundraiser],False,FR-Three-Woes,Fundraiser,Dominant,,,,[When put in play choose to be good or evil],"Place in territory: Negate a card of a different alignment than this card for one round. Each upkeep, you may negate a card of a different alignment than this card for one round.",Promo,Revelation 9:12,Neutral,Rotation
james_courtney_Glory-of-the-Lord-Winner.jpg,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Glory of the Lord [2024 - Winner],False,Glory-of-the-Lord-Winner.jpg,Promo,Dominant,,,,,You may activate a Temple Artifact. Restrict players from playing Enhancements on characters (except lone priests) this turn.,Promo,II Chronicles 7:1,Good,Rotation
james_courtney_019-Lost-Soul-Lost-Souls.jpg,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Lost Soul ""Lost Souls"" [Proverbs 2:16-17]",False,019-Lost-Soul-Lost-Souls.jpg,Roots,Lost Soul,,,,"[""Lost Souls""]","If an O.T. Lost Soul (except a token) is put in play, you may create a Lost Soul token in a Land of Bondage.",,Proverbs 2:16-17,Neutral,Rotation
james_courtney_121-The-Deceiver-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,['Orange'],1,The Deceiver (RoJ),False,121-The-Deceiver-R,Revelation of John,Evil Character,3,2,,Demon,You may exchange this card with a human Evil Character in deck or Reserve. Cannot be prevented.,Rare,II John 1:7,Evil,Rotation
james_courtney_003-The-Resurrection-UR,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,The Resurrection (GoC),False,003-The-Resurrection-UR,Gospel of Christ,Dominant,,,,Gospel,You may play a good Gospel Fortress and an empty tomb Hero from deck or discard pile. Your N.T. Hero may band to up to 3 N.T. human Heroes.,Ultra Rare,Matthew 28:5-6,Good,Rotation
james_courtney_Lost-Soul-Lawless-Heb_12-8-P,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Lost Soul ""Lawless"" [Hebrews 12:8] [2021 - 1st Place]",False,Lost-Soul-Lawless-Heb_12-8-P,Promo,Lost Soul,,,,"[""Lawless""]","If you draw this card, you may reveal the top 6 cards of a deck: Put Lost Souls in play, and the deck's owner may add a revealed evil card to hand. Underdeck the rest.",Promo,Hebrews 12:8,Neutral,Rotation
james_courtney_22-Lost-Soul-Humble-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Lost Soul ""Humble"" [James 4:6 / Proverbs 3:34 - RoJ]",False,22-Lost-Soul-Humble-R,Revelation of John,Lost Soul,,,,"[""Humble""]","During battle, while opponent has more cards in hand than you, your cards cannot be prevented by opponents' cards.",Rare,James 4:6 (Proverbs 3:34),Neutral,Rotation
james_courtney_Lost-Soul-Prosperity-3rd,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Lost Soul ""Prosperity"" [Deuteronomy 30:15] [2024 - 3rd Place]",False,Lost-Soul-Prosperity-3rd,Promo,Lost Soul,,,,"[""Prosperity""]","If drawn, you may discard a card from hand to draw 2.",National,Deuteronomy 30:15,Neutral,Rotation
james_courtney_037-Lost-Soul-Galileans,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Lost Soul ""Galileans"" [Luke 13:2]",False,037-Lost-Soul-Galileans,Gospel of Christ,Lost Soul,,,,"[""Galileans""]","If put in play, you may exchange an evil N.T. card from hand with an evil N.T. card of matching brigade from deck.",Common,Luke 13:2,Neutral,Rotation
james_courtney_Lost_Soul_Luke_5_15_(Promo),nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Lost Soul ""Crowds"" [Luke 5:15] [2016 - Local]",False,Lost_Soul_Luke_5_15_(Promo),Promo,Lost Soul,,,,"[""Crowds""]","While you have drawn 4 or fewer cards this turn, protect your hand and deck from opponents' cards.",Promo,Luke 5:15,Neutral,Rotation
james_courtney_Lost_Soul_Heb_10_25_(CoW),nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,"Lost Soul ""Forsaken"" [Hebrews 10:25]",False,Lost_Soul_Heb_10_25_(CoW),Cloud of Witnesses,Lost Soul,,,,"[""Forsaken""]",Negate opponents' band abilities,Rare,Hebrews 10:25,Neutral,Rotation
james_courtney_FR-Star-of-Bethlehem-foil,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Star of Bethlehem [Fundraiser],False,FR-Star-of-Bethlehem-foil,Fundraiser,Dominant,,,,"[X = # of your nativity Heroes (limit 6)] Gospel, Nativity",*: Draw up to X. / D: You may reveal discard pile and up to X cards from hand: Activate up to X good * abilities on those cards and/or cards you control. Limit twice per game.,Promo,Matthew 2:2,Good,Rotation
james_courtney_K3-Murderous-Command,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Murderous Command [K],False,K3-Murderous-Command,K Starter,Dominant,,,,,You may take an evil Egyptian from deck or Reserve. Discard a Hero in a territory to add an evil Egyptian to battle.,Starter,Exodus 1:22,Evil,Rotation
james_courtney_025-Bethlehem-Stable-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Bethlehem Stable (GoC),False,025-Bethlehem-Stable-R,Gospel of Christ,Fortress,,,,"[Holds The Manger] Gospel, Nativity","Protect hand, deck and Reserve from opponents. If your nativity Hero is harmed or defeated by an opponent, you may reserve it instead. Each upkeep, you may take a good nativity card from Reserve.",Rare,Luke 2:7,Good,Rotation
james_courtney_021-Storehouse-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Storehouse [IR],False,021-Storehouse-R,Israel's Rebellion,Fortress,,,,,"Protect hand, deck, discard pile and Reserve from opponents. Each upkeep, you may take an O.T. Enhancement from Reserve.",Rare,Genesis 41:56,Evil,Rotation
james_courtney_026-Chamber-of-Angels-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Chamber of Angels (GoC),False,026-Chamber-of-Angels-R,Gospel of Christ,Fortress,,,,"[Plays to Set-Aside, Holds any # of angels] Gospel","If your angel is harmed or defeated, you may hold it here instead. While occupied, negate opponents' evil cards in territories.",Rare,Luke 20:36,Good,Rotation
james_courtney_Coliseum_(CoW),nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Coliseum,False,Coliseum_(CoW),Cloud of Witnesses,Fortress,,,,,"Negate all protect abilities on cards in the Field of Battle. Toss all Enhancements played in battle that have 'cannot be negated' in the special ability, or that have no special ability.",Rare,Hebrews 11:37,Evil,Rotation
james_courtney_034-Golgotha,nats2024_17th_james_courtney.txt,17,james_courtney,1,"['Purple', 'Silver', 'White']",3,Golgotha (GoC),False,034-Golgotha,Gospel of Christ,Site,,,,Holds The Cross,"If put in play, you may take a Gospel character (except a Hero) from deck or Reserve. The first skull icon card used by your N.T. character each battle cannot be prevented.",Common,Matthew 27:33,Neutral,Rotation
james_courtney_The-New-Covenant-IJ,nats2024_17th_james_courtney.txt,17,james_courtney,1,['Purple'],1,The New Covenant (I/J+),False,The-New-Covenant-IJ,I/J+,Covenant,4,3,,,GE: Hero may band to any number of N.T. Heroes. ART: You may take a good Gospel Enhancement from deck or Reserve.,,Mark 14:24,Good,Rotation
james_courtney_K52-Pharaohs-Curse,nats2024_17th_james_courtney.txt,17,james_courtney,1,['Pale Green'],1,Pharaoh's Curse,False,K52-Pharaohs-Curse,K Starter,Curse,6,0,,,EE: Negate and discard a good card. / A: Underdeck this card to underdeck a good card in a territory.,Starter,Exodus 10:28,Evil,Rotation
james_courtney_008-Twenty-Sheckels,nats2024_17th_james_courtney.txt,17,james_courtney,1,[],0,Twenty Shekels,False,008-Twenty-Sheckels,Israel's Rebellion,Artifact,,,,,You may bounce an O.T. human in a territory. You may reveal opponent’s hand: Play a character.,Common,Genesis 37:28,Neutral,Rotation
james_courtney_020-Peters-Curse,nats2024_17th_james_courtney.txt,17,james_courtney,1,"['Black', 'Crimson']",2,Peter's Curse (GoC),False,020-Peters-Curse,Gospel of Christ,Curse,3,3,,,EE: Reserve a Hero. Cannot be negated by a disciple. ART: Restrict good Dominants. Cannot be negated. Limit 3 rounds.,Common,Matthew 26:74,Evil,Rotation
james_courtney_150-Mary-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,"['White', 'Clay']",2,"Mary, Holy Virgin / Mary, Willing Servant (GoC)",False,150-Mary-R,Gospel of Christ,Hero,1(3),3(1),,"Jerusalem, Nativity, Prophet, (top) Unity: Heroes (Gospel)",TOP: You may negate and reserve an evil or neutral card in a territory. You may take a * card from Reserve. You may convert this card to meek. Cannot be negated. BOTTOM: Meek,Rare,Luke 1:38,Good,Rotation
james_courtney_138-Joseph,nats2024_17th_james_courtney.txt,17,james_courtney,1,['White'],1,"Joseph, the Betrothed (GoC)",False,138-Joseph,Gospel of Christ,Hero,11,9,,"Gospel, Nativity","You may take a good or neutral nativity card from Reserve (or deck if opponent has hand advantage). May band to Mary, Holy Virgin. Cannot be negated.",Common,Luke 2:4,Good,Rotation
james_courtney_149-The-Magi,nats2024_17th_james_courtney.txt,17,james_courtney,1,['White'],1,The Magi (GoC),False,149-The-Magi,Gospel of Christ,Hero,3,3,Star,"Gospel, Nativity","STAR: Topdeck a N.T. * card from deck. / H: May band to a nativity Hero, or if opponent has hand advantage, you may take a * card from deck. Cannot be negated.",Common,Matthew 2:2,Good,Rotation
james_courtney_127-The-Heavenly-Host-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,['Silver'],1,The Heavenly Host (GoC),False,127-The-Heavenly-Host-R,Gospel of Christ,Hero,9,11,Territory / Warrior,"[X = # of cards in hand, ""Heavenly Host"" Token (1/9 silver male angel warrior)] Angel, Gospel, Nativity","If your Heavenly Host Token attacks, you may underdeck an evil card with strength X or greater. If you put a unique nativity Hero in play, you may create a Hero token.",Rare,Luke 2:13-14,Good,Rotation
james_courtney_057-Gabriel-UR,nats2024_17th_james_courtney.txt,17,james_courtney,1,"['Green', 'Silver']",2,"Gabriel, Mouth of God (GoC)",False,057-Gabriel-UR,Gospel of Christ,Hero,5,12,,"Angel, Gospel, Nativity, Prophet","Negate an evil card. You may take a silver Gospel card from deck or discard pile. If you do not, may band to a Gospel Hero, or you may reserve an evil card from opponent’s deck. Cannot be negated.",Ultra Rare,Luke 1:26,Good,Rotation
james_courtney_126-The-Expatriator-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,['Silver'],1,The Expatriator (GoC),False,126-The-Expatriator-R,Gospel of Christ,Hero,11,10,Warrior,"Angel, Gospel","Negate an opponent's evil card in play or a set-aside area. If it is not a human, you may underdeck it. May band to a Gospel angel. Cannot be interrupted.",Rare,Luke 10:18,Good,Rotation
james_courtney_128-Resurrection-Revealer-R,nats2024_17th_james_courtney.txt,17,james_courtney,1,['Silver'],1,Resurrection Revealer (GoC),False,128-Resurrection-Revealer-R,Gospel of Christ,Hero,8,6,Territory,"Angel, Generic, Gospel, Empty Tomb, Prophet","While you control at least 2 Gospel angels, negate opponents' neutral cards. If attacking, you may exchange this card with an empty tomb human from deck or take a good Gospel Dominant from deck.",Rare,Matthew 28:2,Good,Rotation
